Code,D_P,Description
A187,D,Tuberculosis de las glándulas suprarrenales
A188,D,Tuberculosis de otros órganos especificados
A1881,D,Tuberculosis de glándula tiroides
A1882,D,Tuberculosis de otras glándulas endocrinas
A1883,D,"Tuberculosis de órganos del tracto digestivo, no clasificadas bajo otro concepto"
A1884,D,Tuberculosis cardíaca
A1885,D,Tuberculosis esplénica
A1889,D,Tuberculosis de otras localizaciones
A19,D,Tuberculosis miliar
A190,D,Tuberculosis miliar aguda de un solo sitio especificado
A191,D,Tuberculosis miliar aguda de sitios múltiples
A192,D,"Tuberculosis miliar aguda, no especificada"
A198,D,Otras tuberculosis miliares
A199,D,"Tuberculosis miliar, no especificada"
A20,D,Peste
A200,D,Peste bubónica
A201,D,Peste celulocutánea
A202,D,Peste neumónica
A203,D,Meningitis por peste
A207,D,Peste septicémica
A208,D,Otras formas de peste
A209,D,"Peste, no especificada"
A21,D,Tularemia
A210,D,Tularemia ulceroglandular
A211,D,Tularemia oculoglandular
A212,D,Tularemia pulmonar
A213,D,Tularemia gastrointestinal
A217,D,Tularemia generalizada
A218,D,Otras formas de tularemia
A219,D,"Tularemia, no especificada"
A22,D,Carbunco [ántrax]
A220,D,Carbunco cutáneo
A221,D,Carbunco pulmonar
A222,D,Carbunco gastrointestinal
A227,D,Carbunco septicémico
A228,D,Otras formas de carbunco
A229,D,"Carbunco, no especificado"
A23,D,Brucelosis
A230,D,Brucelosis debida a Brucella melitensis
A231,D,Brucelosis debida a Brucella abortus
A232,D,Brucelosis debida a Brucella suis
A233,D,Brucelosis debida a Brucella canis
A238,D,Otras brucelosis
A239,D,"Brucelosis, no especificada"
A24,D,Muermo y melioidosis
A240,D,Muermo
A241,D,Melioidosis aguda y fulminante
A242,D,Melioidosis subaguda y crónica
A243,D,Otras melioidosis
A249,D,"Melioidosis, no especificada"
A25,D,Fiebres por mordedura de rata
A250,D,Espirilosis
A251,D,Estreptobacilosis
A259,D,"Fiebre por mordedura de rata, no especificada"
A26,D,Erisipeloide
A260,D,Erisipeloide cutáneo
A267,D,Sepsis por Erysipelothrix
A268,D,Otras formas de erisipeloide
A269,D,"Erisipeloide, no especificada"
A27,D,Leptospirosis
A270,D,Leptospirosis icterohemorrágica
A278,D,Otras formas de leptospirosis
A2781,D,Meningitis aséptica en leptospirosis
A2789,D,Otras formas de leptospirosis
A279,D,"Leptospirosis, no especificada"
A28,D,"Otras enfermedades bacterianas zoonóticas, no clasificadas bajo otro concepto"
A280,D,Pasteurelosis
A281,D,Enfermedad por arañazo de gato
A282,D,Yersiniosis extraintestinal
A288,D,"Otras enfermedades bacterianas zoonóticas especificadas, no clasificadas bajo otro concepto"
A289,D,"Enfermedad bacteriana zoonótica, no especificada"
A30,D,Lepra [enfermedad de Hansen]
A300,D,Lepra indeterminada
A301,D,Lepra tuberculoide
A302,D,Lepra tuberculoide limítrofe
A303,D,Lepra limítrofe
A304,D,Lepra lepromatosa limítrofe
