Code,D_P,Description
S72035K,D,"Fractura mediocervical sin desplazamiento de fémur izquierdo, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72035M,D,"Fractura mediocervical sin desplazamiento de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72035N,D,"Fractura mediocervical sin desplazamiento de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72035P,D,"Fractura mediocervical sin desplazamiento de fémur izquierdo, contacto sucesivo por fractura cerrada con unión defectuosa"
S72035Q,D,"Fractura mediocervical sin desplazamiento de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72035R,D,"Fractura mediocervical sin desplazamiento de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72035S,D,"Fractura mediocervical sin desplazamiento de fémur izquierdo, secuela"
S72036,D,Fractura mediocervical sin desplazamiento de fémur no especificado
S72036A,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto inicial por fractura cerrada"
S72036B,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto inicial por fractura abierta tipo I, II o NEOM"
S72036C,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72036D,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias"
S72036E,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72036F,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72036G,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72036H,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72036J,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72036K,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72036M,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72036N,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72036P,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura cerrada con unión defectuosa"
S72036Q,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72036R,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72036S,D,"Fractura mediocervical sin desplazamiento de fémur no especificado, secuela"
S7204,D,Fractura de base del cuello de fémur
S72041,D,Fractura desplazada de base del cuello de fémur derecho
S72041A,D,"Fractura desplazada de base del cuello de fémur derecho, contacto inicial por fractura cerrada"
S72041B,D,"Fractura desplazada de base del cuello de fémur derecho, contacto inicial por fractura abierta tipo I, II o NEOM"
S72041C,D,"Fractura desplazada de base del cuello de fémur derecho, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72041D,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias"
S72041E,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72041F,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72041G,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72041H,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72041J,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72041K,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72041M,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72041N,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72041P,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura cerrada con unión defectuosa"
S72041Q,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72041R,D,"Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72041S,D,"Fractura desplazada de base del cuello de fémur derecho, secuela"
S72042,D,Fractura desplazada de base del cuello de fémur izquierdo
S72042A,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto inicial por fractura cerrada"
S72042B,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto inicial por fractura abierta tipo I, II o NEOM"
S72042C,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72042D,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias"
S72042E,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72042F,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72042G,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72042H,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72042J,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72042K,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72042M,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72042N,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72042P,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con unión defectuosa"
S72042Q,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72042R,D,"Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72042S,D,"Fractura desplazada de base del cuello de fémur izquierdo, secuela"
S72043,D,Fractura desplazada de base del cuello de fémur no especificado
S72043A,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto inicial por fractura cerrada"
S72043B,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto inicial por fractura abierta tipo I, II o NEOM"
S72043C,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72043D,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias"
S72043E,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72043F,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72043G,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72043H,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72043J,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72043K,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72043M,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72043N,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72043P,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura cerrada con unión defectuosa"
S72043Q,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72043R,D,"Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72043S,D,"Fractura desplazada de base del cuello de fémur no especificado, secuela"
S72044,D,Fractura sin desplazamiento de base del cuello de fémur derecho
S72044A,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto inicial por fractura cerrada"
S72044B,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto inicial por fractura abierta tipo I, II o NEOM"
S72044C,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72044D,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias"
S72044E,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72044F,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72044G,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72044H,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72044J,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72044K,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72044M,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72044N,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72044P,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura cerrada con unión defectuosa"
S72044Q,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72044R,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72044S,D,"Fractura sin desplazamiento de base del cuello de fémur derecho, secuela"
S72045,D,Fractura sin desplazamiento de base del cuello de fémur izquierdo
S72045A,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto inicial por fractura cerrada"
S72045B,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto inicial por fractura abierta tipo I, II o NEOM"
S72045C,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72045D,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias"
S72045E,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72045F,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72045G,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72045H,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72045J,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72045K,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72045M,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72045N,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72045P,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con unión defectuosa"
S72045Q,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72045R,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72045S,D,"Fractura sin desplazamiento de base del cuello de fémur izquierdo, secuela"
S72046,D,Fractura sin desplazamiento de base del cuello de fémur no especificado
S72046A,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto inicial por fractura cerrada"
S72046B,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto inicial por fractura abierta tipo I, II o NEOM"
S72046C,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72046D,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias"
S72046E,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72046F,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72046G,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72046H,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72046J,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72046K,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72046M,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72046N,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72046P,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura cerrada con unión defectuosa"
S72046Q,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72046R,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72046S,D,"Fractura sin desplazamiento de base del cuello de fémur no especificado, secuela"
S7205,D,Fractura no especificada de cabeza de fémur
S72051,D,Fractura no especificada de cabeza de fémur derecho
S72051A,D,"Fractura no especificada de cabeza de fémur derecho, contacto inicial por fractura cerrada"
S72051B,D,"Fractura no especificada de cabeza de fémur derecho, contacto inicial por fractura abierta tipo I, II o NEOM"
S72051C,D,"Fractura no especificada de cabeza de fémur derecho, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72051D,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias"
S72051E,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72051F,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72051G,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72051H,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72051J,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72051K,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72051M,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72051N,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72051P,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura cerrada con unión defectuosa"
S72051Q,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72051R,D,"Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72051S,D,"Fractura no especificada de cabeza de fémur derecho, secuela"
S72052,D,Fractura no especificada de cabeza de fémur izquierdo
S72052A,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto inicial por fractura cerrada"
S72052B,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto inicial por fractura abierta tipo I, II o NEOM"
S72052C,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72052D,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias"
S72052E,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72052F,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72052G,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72052H,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72052J,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72052K,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72052M,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72052N,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72052P,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura cerrada con unión defectuosa"
S72052Q,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72052R,D,"Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72052S,D,"Fractura no especificada de cabeza de fémur izquierdo, secuela"
S72059,D,Fractura no especificada de cabeza de fémur no especificado
S72059A,D,"Fractura no especificada de cabeza de fémur no especificado, contacto inicial por fractura cerrada"
S72059B,D,"Fractura no especificada de cabeza de fémur no especificado, contacto inicial por fractura abierta tipo I, II o NEOM"
S72059C,D,"Fractura no especificada de cabeza de fémur no especificado, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72059D,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias"
S72059E,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72059F,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72059G,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72059H,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72059J,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72059K,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72059M,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72059N,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72059P,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura cerrada con unión defectuosa"
S72059Q,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72059R,D,"Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72059S,D,"Fractura no especificada de cabeza de fémur no especificado, secuela"
S7206,D,Fractura articular de cabeza de fémur
S72061,D,Fractura articular desplazada de cabeza de fémur derecho
S72061A,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto inicial por fractura cerrada"
S72061B,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto inicial por fractura abierta tipo I, II o NEOM"
S72061C,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72061D,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias"
S72061E,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72061F,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72061G,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72061H,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72061J,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72061K,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72061M,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72061N,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72061P,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura cerrada con unión defectuosa"
S72061Q,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72061R,D,"Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72061S,D,"Fractura articular desplazada de cabeza de fémur derecho, secuela"
S72062,D,Fractura articular desplazada de cabeza de fémur izquierdo
S72062A,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto inicial por fractura cerrada"
S72062B,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto inicial por fractura abierta tipo I, II o NEOM"
S72062C,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72062D,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias"
S72062E,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72062F,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72062G,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72062H,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72062J,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72062K,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72062M,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72062N,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72062P,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura cerrada con unión defectuosa"
S72062Q,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72062R,D,"Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72062S,D,"Fractura articular desplazada de cabeza de fémur izquierdo, secuela"
S72063,D,Fractura articular desplazada de cabeza de fémur no especificado
S72063A,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto inicial por fractura cerrada"
S72063B,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto inicial por fractura abierta tipo I, II o NEOM"
S72063C,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto inicial por fractura abierta tipo IIIA, IIIB o IIIC"
S72063D,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias"
S72063E,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias"
S72063F,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con curas rutinarias"
S72063G,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura cerrada con retardo de consolidación"
S72063H,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con retardo de consolidación"
S72063J,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con retardo de consolidación"
S72063K,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura cerrada con fracaso de consolidación"
S72063M,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con fracaso de consolidación"
S72063N,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con fracaso de consolidación"
S72063P,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura cerrada con unión defectuosa"
S72063Q,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con unión defectuosa"
S72063R,D,"Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura abierta tipo IIIA, IIIB o IIIC con unión defectuosa"
S72063S,D,"Fractura articular desplazada de cabeza de fémur no especificado, secuela"
S72064,D,Fractura articular sin desplazamiento de cabeza de fémur derecho
